same_love_language,ambition_diff,emotional_expressiveness_diff,spontaneity_diff,overall_match_score,personality_distance_sum
0,0.13,0.22000000000000003,0.06,0.643,1.3900000000000001
0,0.04999999999999999,0.49999999999999994,0.15,0.602,1.13
0,0.07999999999999996,0.03,0.3,0.706,0.24999999999999994
0,0.06000000000000005,0.13,0.49,0.6,0.44
0,0.37,0.050000000000000044,0.59,0.6609999999999999,0.8
0,0.49,0.010000000000000009,0.29000000000000004,0.522,0.7799999999999999
0,0.27,0.15000000000000002,0.030000000000000027,0.6509999999999999,0.9
0,0.019999999999999907,0.21999999999999997,0.25000000000000006,0.8220000000000001,0.3599999999999999
0,0.55,0.22999999999999998,0.39,0.501,1.0899999999999999
1,0.52,0.22000000000000008,0.52,0.607,0.93
0,0.030000000000000027,0.02999999999999997,0.76,0.617,1.4700000000000002
0,0.15999999999999998,0.74,0.24000000000000005,0.473,1.33
0,0.29000000000000004,0.63,0.06000000000000005,0.474,0.4100000000000001
0,0.08000000000000002,0.51,0.020000000000000018,0.608,1.2399999999999998
0,0.07,0.3400000000000001,0.14,0.71,1.23
1,0.39,0.06,0.26,0.637,1.83
0,0.22999999999999998,0.31999999999999995,0.21999999999999997,0.612,1.19
0,0.16000000000000003,0.69,0.8099999999999999,0.601,1.35
0,0.09999999999999998,0.24,0.0,0.46,1.28
1,0.16000000000000003,0.14,0.0,0.7909999999999999,0.5499999999999998
0,0.33999999999999997,0.07,0.38,0.515,0.8599999999999999
0,0.22999999999999998,0.29000000000000004,0.54,0.69,1.02
0,0.050000000000000044,0.42000000000000004,0.12,0.6629999999999999,1.21
0,0.27,0.19000000000000006,0.30000000000000004,0.5760000000000001,1.7000000000000002
0,0.26,0.12,0.37,0.49200000000000005,1.39
0,0.6,0.3,0.32999999999999996,0.598,0.9899999999999999
1,0.25,0.63,0.020000000000000018,0.6890000000000001,0.5999999999999998
1,0.12,0.43000000000000005,0.46,0.616,1.6600000000000001
0,0.37999999999999995,0.18999999999999995,0.10999999999999999,0.507,1.4799999999999998
0,0.040000000000000036,0.010000000000000009,0.29000000000000004,0.6940000000000001,1.06
0,0.39,0.21000000000000002,0.42000000000000004,0.625,1.73
1,0.13,0.06,0.020000000000000018,0.713,0.9999999999999999
0,0.21000000000000002,0.32000000000000006,0.26,0.617,1.02
0,0.56,0.1,0.21999999999999997,0.7120000000000001,0.84
0,0.69,0.32999999999999996,0.0,0.452,0.71
